date,DEWP,TEMP,PRES,Iws,Is,Ir,pm2.5
01022010,-16,-4,1020,1.79,0,0,129
01022010,-15,-4,1020,2.68,0,0,148
01022010,-11,-5,1021,3.57,0,0,159
01022010,-7,-5,1022,5.36,1,0,181
01022010,-7,-5,1022,6.25,2,0,138
01022010,-7,-6,1022,7.14,3,0,109
01022010,-7,-6,1023,8.93,4,0,105
01022010,-7,-5,1024,10.72,0,0,124
01022010,-8,-6,1024,12.51,0,0,120
01022010,-7,-5,1025,14.3,0,0,132
01022010,-7,-5,1026,17.43,1,0,140
01022010,-8,-5,1026,20.56,0,0,152
01022010,-8,-5,1026,23.69,0,0,148
01022010,-8,-5,1025,27.71,0,0,164
01022010,-9,-5,1025,31.73,0,0,158
01022010,-9,-5,1025,35.75,0,0,154
01022010,-9,-5,1026,37.54,0,0,159
01022010,-8,-5,1027,39.33,0,0,164
01022010,-8,-5,1027,42.46,0,0,170
01022010,-8,-5,1028,44.25,0,0,149
01022010,-7,-5,1028,46.04,0,0,154
01022010,-7,-5,1027,49.17,1,0,164
01022010,-8,-6,1028,52.3,2,0,156
01022010,-8,-6,1027,55.43,3,0,126
01032010,-7,-6,1027,58.56,4,0,90
01032010,-8,-6,1026,61.69,5,0,63
01032010,-8,-7,1026,65.71,6,0,65
01032010,-8,-7,1025,68.84,7,0,55
01032010,-8,-7,1024,72.86,8,0,65
01032010,-9,-8,1024,76.88,9,0,83
01032010,-10,-8,1024,80.9,10,0,91
01032010,-10,-9,1024,84.92,11,0,86
01032010,-10,-9,1024,89.84,12,0,82
01032010,-11,-9,1023,93.86,13,0,86
01032010,-11,-9,1023,97.88,15,0,78
01032010,-11,-9,1022,102.8,16,0,98
01032010,-11,-9,1021,105.93,17,0,107
01032010,-11,-9,1020,111.74,19,0,90
01032010,-11,-9,1020,116.66,20,0,96
01032010,-11,-9,1020,121.58,21,0,95
01032010,-11,-9,1020,124.71,22,0,86
01032010,-11,-9,1020,127.84,23,0,70
01032010,-11,-9,1021,0.89,24,0,61
01032010,-11,-9,1022,1.78,25,0,53
01032010,-10,-9,1022,4.02,26,0,71
01032010,-11,-10,1023,7.15,27,0,72
01032010,-11,-9,1023,11.17,0,0,76
01032010,-12,-11,1023,14.3,0,0,73
01042010,-14,-12,1023,16.09,0,0,79
01042010,-16,-9,1023,21.9,0,0,58
01042010,-17,-10,1024,29.95,0,0,25
01042010,-18,-11,1024,39.78,0,0,26
01042010,-19,-11,1025,48.72,0,0,28
01042010,-20,-12,1026,55.87,0,0,26
01042010,-21,-12,1027,64.81,0,0,20
01042010,-21,-13,1027,73.75,0,0,29
01042010,-22,-13,1028,80.9,0,0,26
01042010,-22,-13,1029,90.73,0,0,27
01042010,-22,-12,1030,100.56,0,0,27
01042010,-23,-12,1031,108.61,0,0,25
01042010,-21,-11,1030,117.55,0,0,29
01042010,-20,-10,1030,127.38,0,0,32
01042010,-21,-10,1030,136.32,0,0,28
01042010,-21,-9,1030,145.26,0,0,29
01042010,-21,-9,1031,152.41,0,0,30
01042010,-20,-11,1032,159.56,0,0,30
01042010,-23,-11,1032,165.37,0,0,28
01042010,-21,-12,1033,171.18,0,0,26
01042010,-24,-12,1034,180.12,0,0,31
01042010,-24,-13,1034,187.27,0,0,33
01042010,-24,-13,1035,195.32,0,0,29
01042010,-26,-15,1035,198.45,0,0,31
01052010,-26,-17,1035,201.58,0,0,30
01052010,-26,-18,1035,205.6,0,0,34
01052010,-26,-19,1035,208.73,0,0,27
01052010,-27,-18,1035,213.65,0,0,25
01052010,-27,-19,1035,218.57,0,0,28
01052010,-27,-16,1034,4.92,0,0,28
01052010,-26,-16,1035,8.05,0,0,27
01052010,-27,-16,1034,13.86,0,0,27
01052010,-26,-16,1035,18.78,0,0,27
01052010,-26,-15,1035,24.59,0,0,29
01052010,-25,-14,1035,29.51,0,0,36
01052010,-25,-13,1035,34.43,0,0,30
01052010,-25,-12,1034,39.35,0,0,27
01052010,-24,-11,1032,41.14,0,0,39
01052010,-22,-11,1032,0.89,0,0,41
01052010,-23,-11,1031,1.79,0,0,33
01052010,-24,-11,1031,3.58,0,0,50
01052010,-23,-11,1031,5.37,0,0,56
01052010,-23,-11,1032,7.16,0,0,59
01052010,-22,-13,1033,10.29,0,0,60
01052010,-22,-12,1033,13.42,0,0,84
01052010,-24,-18,1033,16.55,0,0,106
01052010,-22,-13,1034,20.57,0,0,66
01052010,-22,-16,1033,23.7,0,0,50
01062010,-25,-17,1033,26.83,0,0,56
01062010,-25,-14,1033,4.02,0,0,77
01062010,-26,-14,1034,8.04,0,0,50
01062010,-26,-14,1033,13.85,0,0,44
01062010,-26,-14,1033,17.87,0,0,27
01062010,-26,-14,1033,23.68,0,0,28
01062010,-26,-14,1033,28.6,0,0,21
01062010,-26,-15,1034,33.52,0,0,25
01062010,-26,-14,1034,39.33,0,0,20
01062010,-25,-13,1035,44.25,0,0,29
01062010,-25,-12,1035,50.06,0,0,34
01062010,-24,-11,1035,54.98,0,0,42
01062010,-24,-10,1034,59,0,0,28
01062010,-22,-10,1033,4.02,0,0,36
01062010,-22,-9,1033,5.81,0,0,48
01062010,-22,-8,1033,0.89,0,0,49
01062010,-22,-8,1033,1.79,0,0,52
01062010,-21,-9,1033,3.58,0,0,56
01062010,-22,-9,1033,5.37,0,0,96
01062010,-22,-14,1034,0.89,0,0,75
01062010,-22,-12,1035,1.79,0,0,105
01062010,-21,-14,1034,3.58,0,0,132
01062010,-22,-16,1035,5.37,0,0,93
01062010,-21,-16,1035,7.16,0,0,131
01072010,-21,-16,1035,8.95,0,0,127
01072010,-21,-16,1035,0.45,0,0,130
01072010,-22,-18,1036,1.34,0,0,43
01072010,-23,-15,1036,4.02,0,0,37
01072010,-24,-16,1035,7.15,0,0,30
01072010,-25,-15,1035,10.28,0,0,28
01072010,-24,-15,1035,14.3,0,0,24
01072010,-25,-13,1036,4.92,0,0,23
01072010,-24,-14,1036,4.02,0,0,24
01072010,-23,-12,1036,8.94,0,0,27
01072010,-22,-11,1036,12.96,0,0,40
01072010,-20,-10,1036,16.09,0,0,42
01072010,-21,-9,1035,19.22,0,0,42
01072010,-21,-8,1034,21.01,0,0,55
01072010,-20,-7,1033,22.8,0,0,52
01072010,-20,-7,1032,24.59,0,0,51
01072010,-18,-8,1032,26.38,0,0,57
01072010,-19,-9,1032,28.17,0,0,50
01072010,-19,-11,1032,0.89,0,0,54
01072010,-18,-11,1033,1.79,0,0,67
01072010,-19,-15,1032,1.79,0,0,106
01072010,-19,-14,1032,0.45,0,0,159
01072010,-21,-14,1032,1.34,0,0,198
01072010,-21,-16,1032,2.23,0,0,190
01082010,-21,-17,1031,1.79,0,0,210
01082010,-19,-16,1031,3.58,0,0,195
01082010,-20,-16,1031,0.89,0,0,275
01082010,-19,-15,1030,0.89,0,0,164
01082010,-18,-15,1030,0.45,0,0,110
01082010,-18,-15,1029,1.34,0,0,100
01082010,-18,-15,1029,1.79,0,0,81
01082010,-16,-13,1029,0.89,0,0,71
01082010,-16,-12,1029,0.89,0,0,66
01082010,-16,-12,1030,1.78,0,0,92
01082010,-17,-10,1030,0.89,0,0,135
01082010,-16,-10,1029,0.89,0,0,155
01082010,-16,-9,1028,3.13,0,0,198
01082010,-15,-8,1026,4.92,0,0,250
01082010,-16,-8,1026,0.89,0,0,200
01082010,-16,-8,1025,1.78,0,0,231
01082010,-16,-8,1025,2.67,0,0,250
01082010,-17,-8,1025,0.89,0,0,212
01082010,-17,-9,1026,0.45,0,0,219
01082010,-17,-11,1026,1.34,0,0,227
01082010,-17,-12,1026,1.79,0,0,226
01082010,-18,-14,1027,1.79,0,0,225
01082010,-16,-9,1027,4.92,0,0,168
01082010,-16,-11,1027,6.71,0,0,169
01092010,-17,-13,1027,0.89,0,0,165
01092010,-17,-13,1027,3.13,0,0,159
01092010,-17,-14,1027,4.92,0,0,167
01092010,-17,-15,1027,8.05,0,0,196
01092010,-17,-13,1027,9.84,0,0,169
01092010,-19,-16,1027,13.86,0,0,155
01092010,-18,-15,1027,17.88,0,0,119
01092010,-19,-15,1027,21.9,0,0,106
01092010,-18,-14,1028,25.92,0,0,93
01092010,-18,-9,1029,5.81,0,0,84
01092010,-17,-7,1029,11.62,0,0,73
01092010,-17,-6,1030,17.43,0,0,66
01092010,-16,-6,1029,23.24,0,0,40
01092010,-16,-5,1029,28.16,0,0,49
01092010,-15,-4,1029,33.08,0,0,50
01092010,-14,-4,1028,37.1,0,0,49
01092010,-15,-4,1029,38.89,0,0,41
01092010,-15,-4,1030,1.79,0,0,37
01092010,-15,-7,1030,3.13,0,0,45
01092010,-15,-6,1031,3.13,0,0,44
01092010,-15,-7,1032,4.92,0,0,54
01092010,-15,-6,1032,3.13,0,0,50
01092010,-15,-8,1033,0.45,0,0,47
01092010,-15,-8,1033,0.9,0,0,66
01102010,-15,-11,1033,0.89,0,0,75
01102010,-17,-13,1033,1.78,0,0,82
01102010,-17,-12,1033,4.91,0,0,66
01102010,-17,-13,1033,8.04,0,0,83
01102010,-19,-14,1032,9.83,0,0,62
